#FAPP1a,FAPP2a
0.01,0.01
0.01,0.01
0.00,0.01
0.00,-0.00
0.00,-0.00
0.00,-0.01
0.00,-0.00
0.00,-0.01
0.00,-0.01
0.00,-0.01
0.10,0.00
-0.10,0.00
-0.00,-0.01
-0.00,-0.01
0.00,-0.00
-0.10,0.00
0.10,0.00
0.10,0.00
0.10,0.00
0.10,0.00
0.10,0.00
-0.00,-0.00
0.00,-0.01
0.00,0.01
0.00,0.02
0.00,0.01
0.00,0.01
0.00,0.01
0.10,0.00
0.10,0.00
0.10,0.00
0.10,0.00
0.00,0.01
-0.00,0.01
-0.10,0.00
-0.00,-0.01
0.00,-0.01
0.00,-0.00
0.10,0.00
0.10,0.00
-0.00,-0.00
0.00,-0.01
0.00,0.01
0.00,0.02
0.00,0.01
0.00,0.01
0.00,0.01
0.10,0.00
0.10,0.00
0.10,0.00
0.10,0.00
0.00,0.01
-0.00,0.01
-0.10,0.00
-0.00,-0.01
0.00,-0.01
0.00,-0.00
0.10,0.00
0.10,0.00
-0.00,-0.00
0.00,-0.01
0.00,0.01
0.00,0.02
0.00,0.01
0.00,0.01
0.00,0.01
0.10,0.00
0.10,0.00
0.10,0.00
0.10,0.00
0.00,0.01
-0.00,0.01
-0.10,0.00
-0.00,-0.01
0.00,-0.01
0.00,-0.00
0.10,0.00
0.10,0.00
-0.00,-0.00
0.00,-0.01
0.00,0.01
0.00,0.02
0.00,0.01
0.00,0.01
0.00,0.01
0.10,0.00
0.10,0.00
0.10,0.00
0.10,0.00
0.00,0.01
-0.00,0.01
-0.10,0.00
-0.00,-0.01
0.00,-0.01
0.00,-0.00
0.10,0.00
0.10,0.00
-0.00,-0.00
0.00,-0.01
0.00,0.01
0.00,0.02
0.00,0.01
0.00,0.01
0.00,0.01
0.10,0.00
0.10,0.00
0.10,0.00
0.10,0.00
0.00,0.01
-0.00,0.01
-0.10,0.00
-0.00,-0.01
0.00,-0.01
0.00,-0.00
0.10,0.00
0.10,0.00
-0.00,-0.00
0.00,-0.01
0.00,0.01
0.00,0.02
0.00,0.01
0.00,0.01
0.00,0.01
0.10,0.00
0.10,0.00
0.10,0.00
0.10,0.00
0.00,0.01
-0.00,0.01
-0.10,0.00
-0.00,-0.01
0.00,-0.01
0.00,-0.00
0.10,0.00
0.10,0.00
-0.00,-0.00
0.00,-0.01
0.00,0.01
0.00,0.02
0.00,0.01
0.00,0.01
0.00,0.01
0.10,0.00
0.10,0.00
0.10,0.00
0.10,0.00
0.00,0.01
-0.00,0.01
-0.10,0.00
-0.00,-0.01
0.00,-0.01
0.00,-0.00
0.10,0.00
0.10,0.00
-0.00,-0.00
0.00,-0.01
0.00,0.01
0.00,0.02
0.00,0.01
0.00,0.01
0.00,0.01
0.10,0.00
0.10,0.00
0.10,0.00
0.10,0.00
0.00,0.01
-0.00,0.01
-0.10,0.00
-0.00,-0.01
0.00,-0.01
0.00,-0.00
0.10,0.00
0.10,0.00
-0.00,-0.00
0.00,-0.01
0.00,0.01
0.00,0.02
0.00,0.01
0.00,0.01
0.00,0.01
0.10,0.00
0.10,0.00
0.10,0.00
0.10,0.00
0.00,0.01
-0.00,0.01
-0.10,0.00
-0.00,-0.01
0.00,-0.01
0.00,-0.00
0.10,0.00
0.10,0.00
-0.00,-0.00
0.00,-0.01
0.00,0.01
0.00,0.02
0.00,0.01
0.00,0.01
0.00,0.01
0.10,0.00
0.10,0.00
0.10,0.00
0.10,0.00
0.00,0.01
-0.00,0.01
-0.10,0.00
-0.00,-0.01
0.00,-0.01
0.00,-0.00
0.10,0.00
0.10,0.00
-0.00,-0.00
0.00,-0.01
0.00,0.01
0.00,0.02
0.00,0.01
0.00,0.01
0.00,0.01
0.10,0.00
0.10,0.00
0.10,0.00
0.10,0.00
0.00,0.01
-0.00,0.01
-0.10,0.00
-0.00,-0.01
0.00,-0.01
0.00,-0.00
0.10,0.00
0.10,0.00
-0.00,-0.00
0.00,-0.01
0.00,0.01
0.00,0.02
0.00,0.01
0.00,0.01
0.00,0.01
0.10,0.00
0.10,0.00
0.10,0.00
0.10,0.00
0.00,0.01
-0.00,0.01
-0.10,0.00
-0.00,-0.01
0.00,-0.01
0.00,-0.00
0.10,0.00
0.10,0.00
-0.00,-0.00
0.00,-0.01
0.00,0.01
0.00,0.02
0.00,0.01
0.00,0.01
0.00,0.01
0.10,0.00
0.10,0.00
0.10,0.00
0.10,0.00
0.00,0.01
-0.00,0.01
-0.10,0.00
-0.00,-0.01
0.00,-0.01
0.00,-0.00
0.10,0.00
0.10,0.00
-0.00,-0.00
0.00,-0.01
0.00,0.01
0.00,0.02
0.00,0.01
0.00,0.01
0.00,0.01
0.10,0.00
0.10,0.00
0.10,0.00
-0.00,0.01
-0.10,0.00
-0.00,-0.01
0.00,-0.01
0.00,-0.00
0.10,0.00
0.10,0.00
-0.00,-0.00
0.00,-0.01
0.00,0.01
0.00,0.02
0.00,0.01
0.00,0.01
0.00,0.01
0.10,0.00
0.10,0.00
0.10,0.00
0.10,0.00
0.00,0.01
-0.00,0.01
-0.10,0.00
-0.00,-0.01
0.00,-0.01
0.00,-0.00
